"symbol","logFC_TCGA","padj_TCGA","DE_sig","DE_dir","n_sig_probes","n_hyper","n_hypo","mean_logFC_meth","meth_sig","meth_dir","HR","pval_cox","cox_sig","cox_dir","TCGA_dir","GSE14520_dir","GSE36376_dir","GSE76427_dir","replicated","omics_score"
"HDAC11",1.74716530338854,1.30865455664321e-39,TRUE,"UP",2,0,1,-0.106,TRUE,"HYPO",1.288,0.0092,TRUE,"RISK","UP","UP","UP","UP",TRUE,4
"IL6",-1.92549683844008,1.19475266378114e-08,TRUE,"DOWN",1,0,0,-0.089,TRUE,"HYPO",0.958,0.6479,FALSE,"PROTECTIVE","DOWN","DOWN","DOWN","DOWN",TRUE,3
"MYC",-1.18210225415577,1.35777788558109e-08,TRUE,"DOWN",4,0,1,-0.071,TRUE,"HYPO",0.973,0.6343,FALSE,"PROTECTIVE","DOWN","DOWN","DOWN","DOWN",TRUE,3
"KLF4",-1.16185815543333,5.50275713837311e-08,TRUE,"DOWN",9,5,0,0.105,TRUE,"HYPER",1.042,0.5324,FALSE,"RISK","DOWN","DOWN","DOWN","DOWN",TRUE,3
"SNAI1",-0.744644566940362,0.000702618159319633,TRUE,"DOWN",10,7,1,0.084,TRUE,"HYPER",0.939,0.4091,FALSE,"PROTECTIVE","DOWN","DOWN","DOWN","DOWN",TRUE,3
"SMAD3",0.362171573151116,0.000834579145281662,TRUE,"UP",14,0,3,-0.063,TRUE,"HYPO",1.005,0.9682,FALSE,"RISK","UP","UP","UP","UP",TRUE,3
"TGFBR2",-0.413494006079951,0.00112425099553552,TRUE,"DOWN",8,0,1,-0.05,TRUE,"HYPO",0.818,0.0499,TRUE,"PROTECTIVE","DOWN","UP","DOWN","UP",FALSE,3
"SMAD4",-0.284126643271733,7.82965499495013e-05,TRUE,"DOWN",1,0,1,-0.121,TRUE,"HYPO",0.961,0.8173,FALSE,"PROTECTIVE","DOWN","UP","UP","UP",FALSE,2
"TGFB1",0.573259807740515,0.00671003667130826,TRUE,"UP",3,0,2,-0.079,TRUE,"HYPO",1.128,0.0772,FALSE,"RISK","UP","DOWN","DOWN","UP",FALSE,2
