"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"ILMN_2193817",-2.37691588939877,7.76419423282334,-38.7237107938904,7.3214634393064e-143,3.46473614338297e-138,315.585409976583,"CLEC4G"
"ILMN_1793504",-1.83602991770661,7.29300179335756,-36.8366934760632,1.22034662822099e-135,2.8875231743651e-131,299.086102668289,"FCN2"
"ILMN_2199389",-1.56969908964474,7.65565425885886,-36.1688137786716,4.88550181225008e-133,7.70655340870368e-129,293.13797634569,"VIPR1"
"ILMN_2329735",-1.8496733447861,7.84472530500326,-35.8554144545998,8.2882436223034e-132,9.80561382345659e-128,290.327251448912,"ECM1"
"ILMN_1745103",-2.98091480281095,7.28021451617725,-34.3548181366398,7.58287558180582e-126,7.17688842315594e-122,276.69583338402,"CLEC1B"
"ILMN_1746220",-1.74407999345213,6.9792275168313,-34.1882251192955,3.5415944533177e-125,2.79331457190589e-121,275.16485984396,"DBH"
"ILMN_1815102",-2.69898439537266,8.2815481774916,-33.9571693297019,3.02037291330656e-124,2.04190153394866e-120,273.035664757413,"LCAT"
"ILMN_1670903",-2.50446438188759,7.86369224386825,-33.8995892899168,5.15803816503435e-124,3.05117300104901e-120,272.504010129471,"NAT2"
"ILMN_1780060",-4.47734090701326,10.0502155679143,-33.814160034215,1.14196553635789e-123,6.00458167522941e-120,271.714443472892,"FCN3"
"ILMN_2188966",-2.48410559132489,8.19928183596589,-32.2511655855563,2.76666033269848e-117,1.3092666692429e-113,257.107044392986,"IGFALS"
"ILMN_1683607",-5.14741052662183,9.58261753912553,-32.2313793692304,3.33895462454328e-117,1.43644863361147e-113,256.920176532014,"CYP1A2"
"ILMN_2098013",-2.05166961513476,8.32197038420417,-31.5997071062679,1.38438557440911e-114,5.45943987814688e-111,250.929140876012,"CETP"
"ILMN_2124802",-4.70189428363653,9.61084034604831,-30.9993318243801,4.45148473917003e-112,1.6204431716288e-108,245.189867633437,"MT1H"
"ILMN_1718766",-4.28673490700316,10.4033301875895,-30.8883051032568,1.30078483442496e-111,4.39693147996375e-108,244.123750417155,"MT1F"
"ILMN_1657838",-1.24390477113509,7.54151160640793,-30.57655331938,2.66203865345118e-110,8.39837701315135e-107,241.122334072808,"KDM8"
"ILMN_1726986",-1.58368537165955,8.21360774019955,-30.3855587246976,1.70154106360329e-109,5.03262673455616e-106,239.277822114543,"AADAT"
"ILMN_2349771",-3.02917372002056,8.0126507538751,-30.1521393763246,1.65164745073851e-108,4.59770072419403e-105,237.017768169585,"FCN3"
"ILMN_1803300",-2.0640606306388,8.26898019735149,-29.7863284392443,5.8927417260063e-107,1.54923453722109e-103,233.463071495375,"SLC25A47"
"ILMN_1673563",-0.983048496537394,7.14534373503825,-29.7146864494592,1.18883609902885e-106,2.96101530075485e-103,232.765092987921,""
"ILMN_2125395",-1.62147650753233,7.70008705388686,-29.6166489240301,3.10911399882575e-106,7.35663008832155e-103,231.808998991378,"ADGRG7"
"ILMN_1788895",-1.98551142987816,7.49589226175153,-29.2727159919496,9.14242182068253e-105,2.06022298961981e-101,228.446192820424,"SRD5A2"
"ILMN_1678535",-1.09128203063918,7.30562362650285,-29.259068910402,1.04579336231483e-104,2.24954905840112e-101,228.312482261786,"ESR1"
"ILMN_1658356",-1.48119751321323,6.93181110194416,-29.2169022124324,1.58452526723883e-104,3.26019518354536e-101,227.89921154692,"PAMR1"
"ILMN_1730917",-1.85167456690426,8.22760173346032,-29.1545841703849,2.92918740633924e-104,5.77574731792467e-101,227.288074413257,"KMO"
"ILMN_1811345",-1.95785868146414,7.15904588792214,-29.1083440149324,4.62242124122748e-104,8.74987361594431e-101,226.834327889819,"GLYAT"
"ILMN_1725518",-1.1412955665092,7.28312863448692,-28.7411972305908,1.74410982530341e-102,3.17448112549359e-99,223.223147805139,"ANGPTL6"
"ILMN_1696590",-1.6203940693545,7.46982782361382,-28.6738147914036,3.40124268443579e-102,5.96137065020574e-99,222.558774514897,"CHST4"
"ILMN_2401253",-0.957253709476825,7.16118830879755,-28.6537242634449,4.15110053807258e-102,7.01580467011459e-99,222.360591082963,"FAM13A"
"ILMN_1662962",-1.09315304986079,6.76565260987524,-28.553488894144,1.12237289000856e-101,1.83151904392672e-98,221.371160202435,"COLEC10"
"ILMN_1809311",-3.28395435240123,9.81583539049881,-28.2798071998709,1.70594595419715e-100,2.69101601301573e-97,218.664094895156,"APOF"
"ILMN_2289623",-1.32561392045101,6.88470028839261,-28.1239538182381,8.06334096011855e-100,1.23090801372803e-96,217.118922210851,"TTC36"
"ILMN_1752510",-1.56427798886792,8.14230556093522,-28.0152605258623,2.38562881829843e-99,3.52797226776052e-96,216.03978616684,"FAM13A"
"ILMN_2094856",-1.17693085317581,7.28724015526453,-27.9656619353989,3.9151195748093e-99,5.61440011026365e-96,215.546945554905,"RANBP3L"
"ILMN_1767474",-1.6017065370745,7.6967169464073,-27.9117399531471,6.7106676953692e-99,9.34026256905755e-96,215.010853244924,"HAO2"
"ILMN_2175220",-1.3961437179953,7.28302919201038,-27.5428147968217,2.69994485521295e-97,3.65055686809265e-94,211.334928889248,"CYP39A1"
"ILMN_1718173",-1.75809434602908,7.67493654859708,-27.4256505157161,8.75369319240543e-97,1.15069728595612e-93,210.164610072831,"CDHR2"
"ILMN_1691237",1.83583766774623,8.40480502748843,27.0623778687193,3.38687091543763e-95,4.33180790084473e-92,206.527267336265,"CAP2"
"ILMN_1773395",-2.37870662991963,9.16060331195837,-26.9842215651094,7.44890172389657e-95,9.27643095473572e-92,205.743013230128,"RDH5"
"ILMN_2136089",-3.09601153013905,8.96137309227247,-26.8847118451752,2.03363290580132e-94,2.46763102567272e-91,204.743633031114,""
"ILMN_2381296",-1.72751672447399,8.20481676898405,-26.8265734492761,3.65846802091e-94,4.3282420538381e-91,204.159305725922,"GSTZ1"
"ILMN_1715401",-4.43875270731365,11.5793042161487,-26.7422119285399,8.58224727764258e-94,9.90579726633853e-91,203.310845409079,"MT1G"
"ILMN_1795166",-1.51852071504332,6.90733924012768,-26.7361068357261,9.12872990947939e-94,1.02856877501498e-90,203.249417591093,"PTH1R"
"ILMN_1729188",-4.48183804406415,10.7376565065041,-26.6858570679116,1.51750437908524e-93,1.67006650538258e-90,202.743683775115,"HAMP"
"ILMN_1686097",2.37048286197232,7.40673429557219,26.6263777430223,2.77026845025958e-93,2.97948667890077e-90,202.144752221948,"TOP2A"
"ILMN_1772894",-1.63708142149897,7.55863906525897,-26.5560006692296,5.64923220949624e-93,5.94085812999979e-90,201.435656511982,"TMEM27"
"ILMN_1657435",-3.59924361858415,8.40742240365063,-26.5328997611155,7.1386111993458e-93,7.34392386492698e-90,201.202798806565,"MT1M"
"ILMN_1759513",-1.9278933150337,8.4224186873686,-26.4962534563118,1.03483194127405e-92,1.0419436586577e-89,200.833301488235,"RND3"
"ILMN_1728934",1.74279967060407,7.21673356386793,26.3929832357224,2.94835471205637e-92,2.90677062580507e-89,199.791381245801,"PRC1"
"ILMN_1747303",1.3936558606749,8.73406700172431,26.2991380455373,7.64105933381936e-92,7.37954797661905e-89,198.843705066763,"DDX39A"
"ILMN_3246037",-1.96452972478258,7.8880694339531,-26.2203113382401,1.70139845174346e-91,1.61030557863712e-88,198.047072365259,"ASPG"
"ILMN_1784630",-1.95267137314102,7.36279272399242,-26.2160247430319,1.77712614138097e-91,1.64899883114847e-88,198.003735428967,"KBTBD11"
"ILMN_1663390",2.30501761477666,7.41201603768583,26.2079366608317,1.92932040219474e-91,1.75579287294349e-88,197.921961442125,"CDC20"
"ILMN_1808078",-0.900431980801357,7.22513578285803,-26.1996494887256,2.09880210877197e-91,1.87399268289464e-88,197.838168478029,"ADGRG7"
"ILMN_1681983",-0.712328143749362,7.05359931025468,-26.1928569728913,2.24877201616132e-91,1.9707155207556e-88,197.769483635201,"RSPO3"
"ILMN_1658121",-0.607599876437026,7.08345589828362,-26.1099884784082,5.22118353662235e-91,4.49240124551963e-88,196.931198472216,"CFP"
"ILMN_2301083",2.17298581770935,7.3097726789914,26.0601491782431,8.66784174993692e-91,7.31454547428293e-88,196.426737577621,"UBE2C"
"ILMN_1788131",-2.02785156482753,7.76104905465315,-26.0585468835421,8.81028447127458e-91,7.31454547428293e-88,196.410515906605,"CYP26A1"
"ILMN_1808650",-1.56773962759593,7.61027160508614,-26.0485384137281,9.75460465395309e-91,7.95891648343141e-88,196.309184783609,"CYP39A1"
"ILMN_1782958",-1.63439864844116,7.99054623330936,-26.012711446906,1.4045349049861e-90,1.12655602218063e-87,195.946380998499,""
"ILMN_1794643",-2.03965274144933,9.96118303060394,-25.9078164643058,4.0864938826785e-90,3.22308583349991e-87,194.883509717268,"ZGPAT"
"ILMN_1694653",-1.6274082439528,6.7941110619336,-25.8850053139093,5.1554925812676e-90,3.99956353152994e-87,194.652244026987,"CNDP1"
"ILMN_2344079",-1.69690110246427,8.03369812325898,-25.8034218845632,1.18403012241606e-89,9.03739636824116e-87,193.824761478719,"ZGPAT"
"ILMN_1781560",-1.51004717382336,7.92136337554313,-25.5966980186973,9.75936996729546e-89,7.3308359517829e-86,191.725469538475,"ST3GAL6"
"ILMN_1755954",-1.50666848750016,8.61563840937296,-25.5834120277368,1.11776089039416e-88,8.26496853376922e-86,191.590426722784,"CPEB3"
"ILMN_1673591",-1.11939363503613,6.94977442107793,-25.5666418238585,1.32659543643298e-88,9.65822705204892e-86,191.419948350174,"CYP3A43"
"ILMN_1761058",-1.60099984680712,9.20734253552578,-25.472822548903,3.46009379193458e-88,2.48093967448061e-85,190.465794488329,"ACAD11"
"ILMN_1779875",1.81414877766634,7.40614170225021,25.4593018244247,3.9729717949903e-88,2.80616334707949e-85,190.328227319604,"THY1"
"ILMN_1732799",1.5412550581915,7.39526324789922,25.4395210491925,4.86348106573685e-88,3.38462521285096e-85,190.126940070268,"CD34"
"ILMN_1726720",1.61537989778966,7.48926130711291,25.4287882435776,5.42761942107645e-88,3.67378107344985e-85,190.017710717632,"NUSAP1"
"ILMN_1731948",-2.84001110376055,9.23816703726012,-25.4286689780312,5.43424286586839e-88,3.67378107344985e-85,190.016496881759,"PCK1"
"ILMN_1654065",-1.31466712314311,7.63273885957738,-25.4067046932292,6.80284373105791e-88,4.53423906880075e-85,189.792933654345,"ATOH8"
"ILMN_2316918",-1.75541124212368,9.86604176843303,-25.3943767649879,7.717039328431e-88,5.07213127971306e-85,189.667436802435,"PANK1"
"ILMN_1716359",-1.27709586797043,8.31084856198697,-25.2876383967917,2.30037509851223e-87,1.49124179160129e-84,188.580340060362,"SLC19A3"
"ILMN_1771084",-1.86620534400945,8.66184687710573,-25.2634907732804,2.94554461787302e-87,1.8836757831298e-84,188.334277460745,"ACSM3"
"ILMN_1801939",1.53639951273393,6.84188587532987,25.243900331043,3.59985239535574e-87,2.25923320026658e-84,188.134618140015,"CCNB2"
"ILMN_1669523",-2.81052944002643,9.10939034974058,-25.2431318556998,3.62829328699069e-87,2.25923320026658e-84,188.126785472072,"FOS"
"ILMN_1821176",-1.28385404435669,8.27759144062854,-25.203721199742,5.43253944691805e-87,3.33875408112341e-84,187.725030577052,"RNF125"
"ILMN_2395451",-1.98019106676485,11.8309385664471,-25.1211112803772,1.26656012037412e-86,7.68428520211084e-84,186.882503079984,"ASS1"
"ILMN_1795104",-1.29329131457931,8.19609772273278,-25.0943080311455,1.66706372996801e-86,9.98613378395899e-84,186.609025886616,"ACADS"
"ILMN_2042771",1.48182761327171,8.04123115828584,25.0765535279679,1.99989547340337e-86,1.18301316859834e-83,186.427843608958,"PTTG1"
"ILMN_1677497",-0.987976714515115,6.9265272549691,-25.0364824394003,3.01626385801868e-86,1.76220561176565e-83,186.018834196048,"STAB2"
"ILMN_1784364",-1.24399175013975,8.35490852421315,-24.8763660032103,1.55989038129534e-85,9.00227957488283e-83,184.383287737861,"STARD5"
"ILMN_1687319",-2.5467910125776,7.83968322273226,-24.8258101797402,2.62173499135191e-85,1.494799578262e-82,183.866472816226,"SLCO1B3"
