"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","36/2057","103/9399",0.349514563106796,1.5970283804768,3.22472888151349,0.00154482445262363,0.012288376327688,0.00894372051518945,"4843/732/3909/2920/384/22798/5332/5296/3315/1277/3910/735/383/3553/5582/1284/3915/3569/3586/7099/2774/9630/731/912/1278/5579/3592/929/5272/23236/1282/1287/3914/1288/4583/6318",36
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","68/2057","226/9399",0.300884955752212,1.37482630000731,3.01895232578844,0.00222436808197876,0.0173006406376125,0.0125917444640669,"1080/2696/477/153/816/815/779/610/5020/3972/268/2906/5296/5143/1395/2735/2740/2641/116444/2891/1908/10257/5732/6662/91860/7137/84152/64208/480/3351/9568/486/10021/139760/775/814/114/6750/90993/2695/2905/6755/134/4886/64399/3360/1128/5604/154/1816/163688/54714/2353/112/2902/3725/810/3355/3352/5021/1129/2903/487/27198/1259/6262/56670/5348",68
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","39/2057","116/9399",0.336206896551724,1.53622198380635,3.075793044714,0.00228258707248982,0.0173675103341617,0.0126404135364425,"8277/1373/5214/5315/38/26227/54363/2645/2027/64902/51179/4329/2805/847/35/2806/1892/9104/29968/229/275/4594/5723/414328/2746/26007/226/80201/3099/2539/3101/7086/2203/5232/8801/189/6470/283871/55753",39
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","32/2057","91/9399",0.351648351648352,1.60677824848948,3.07857819457752,0.00245668547138222,0.0182944662762505,0.013315070192038,"2556/2775/2568/2564/5143/2557/2570/2566/3762/5582/2792/50940/9568/2569/774/2555/5137/114/3763/3765/2565/2560/134/5579/2786/27115/112/2567/200959/5138/2563/55879",32
NA,NA,"hsa04518","Integrin signaling","49/2057","154/9399",0.318181818181818,1.45386043222699,3.00577799823227,0.00255893400282853,0.0186588937706247,0.01358030764659,"3675/3479/3082/3381/1298/3909/10979/22798/3655/55612/5296/1311/1277/7450/1297/3910/7060/5159/7143/6696/3691/5156/1284/3915/7057/22801/80144/1950/1280/3680/341640/1758/3681/3673/1278/158326/2277/7148/255743/2266/2243/2244/1282/1287/3914/6714/5154/1288/131873",49
NA,NA,"hsa04519","Cadherin signaling","112/2057","404/9399",0.277227722772277,1.2667298815443,2.90061071480501,0.00277045178466058,0.0197889413190041,0.0144027783434556,"10083/1951/2556/5606/1008/1496/28513/8463/7479/1015/1005/5317/56142/56113/7481/2568/2564/79838/7472/8777/25984/2557/11211/2570/56133/1007/56132/56130/2566/5159/51421/10297/7475/27253/56128/56126/3872/4430/84152/5156/3891/10518/51176/64403/1009/1012/1016/2569/117532/64405/65217/1006/2555/1010/89780/55740/7476/5603/375323/22808/54361/57216/2565/2560/117531/57526/1014/4640/147798/8313/5604/1501/3892/286887/79905/54474/283446/6330/56127/2535/259236/124590/2567/200959/29119/6331/5101/5600/338785/3859/375612/2563/6300/8326/79633/390792/56125/56114/9752/56140/56141/56143/56144/56146/3887/56097/56098/56145/56111/55879/57717/29964",112
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","20/2057","50/9399",0.4,1.82771025765678,3.10604995130607,0.00286526047768872,0.0200568233438211,0.0145977481179089,"6401/3082/1311/1440/6347/975/7060/3553/3569/3586/7099/7057/3592/4615/6403/3040/1378/3039/54106/3043",20
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","16/2057","37/9399",0.432432432432432,1.97590298125057,3.14811699916829,0.00292280605773509,0.0200584729452408,0.01459894873007,"27294/7365/54490/6652/51181/7360/7364/10941/28970/57016/10720/441282/54658/54576/54575/54577",16
NA,NA,"hsa04981","Folate transport and metabolism","14/2057","31/9399",0.451612903225806,2.06354383928992,3.13935535771698,0.00325194528402123,0.0218880932578352,0.0159305821605898,"2346/4522/2348/2352/28234/10057/10257/10599/11309/635/9376/7298/6470/9356",14
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","27/2057","75/9399",0.36,1.6449392318911,2.96808252124527,0.00356168653000296,0.0234681895424233,0.0170806071256134,"8277/1373/5009/586/5214/5315/440/384/26227/65263/587/2027/383/2805/2806/445/29968/2752/229/5723/226/4143/7086/5232/6470/5831/102724560",27
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","38/2057","115/9399",0.330434782608696,1.50984760415125,2.9117186837312,0.00362080638654531,0.0234681895424233,0.0170806071256134,"5743/3781/779/2775/3710/5332/8605/1562/1843/3762/5582/2792/7166/1573/3351/1559/1558/3358/774/9177/775/3763/283748/246/3765/2560/3360/1557/5579/3359/2786/255189/5604/3355/3352/247/23236/123745",38
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","17/2057","41/9399",0.414634146341463,1.89457770610764,3.03840844793094,0.00373103078321249,0.0236441297322441,0.0172086598351972,"211/26227/1610/64902/1757/27232/29958/29968/9380/275/635/5723/212/2628/189/6470/102724560",17
"Organismal Systems","Sensory system","hsa04742","Taste transduction","30/2057","86/9399",0.348837209302326,1.59393336423557,2.92866584744846,0.00378306075715905,0.0236441297322441,0.0172086598351972,"2556/954/29850/3710/5332/2557/5024/50839/2914/50832/54429/1131/3351/9568/10021/9177/775/2555/2911/5137/114/3359/6340/112/80834/3355/3352/23236/5030/22953",30
"Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","14/2057","32/9399",0.4375,1.99905809431211,2.9963541847152,0.00463346838704663,0.0284511216748477,0.0207072825422952,"5214/5236/6476/2717/2645/2538/80201/3099/3101/7360/57016/441282/8972/93432",14
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","60/2057","201/9399",0.298507462686567,1.36396287884834,2.76080729425228,0.00473813289889862,0.0285921812864572,0.0208099484851809,"3207/4353/3479/4804/6929/3205/4616/3560/51804/4318/2138/3195/7468/3398/8013/2322/1031/7849/6756/6495/10912/4613/5077/3569/4609/1848/9611/6258/890/3486/8091/4314/2308/7102/3248/6758/10214/6692/79058/929/171558/9915/2118/26471/1436/653604/7113/7490/8356/5154/126961/1668/3206/6759/8355/8353/8354/8357/8358/8352",60
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","9/2057","17/9399",0.529411764705882,2.4190282821928,3.09952735663619,0.00489295780355437,0.0290260208685429,0.0211257054140974,"1373/771/760/768/2752/2746/762/11238/767",9
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","24/2057","66/9399",0.363636363636364,1.66155477968798,2.8546628450253,0.00502360045876161,0.0293043360094427,0.0213282686143914,"56895/84649/9663/9388/2717/346606/217/219/84803/8612/26007/9162/8613/3990/80168/1056/4023/150763/57016/196051/441282/128966744/5408/139189",24
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","33/2057","99/9399",0.333333333333333,1.52309188138065,2.769375072622,0.00553202421546388,0.0317411225477436,0.0231018094933953,"3675/3479/782/27092/779/3655/6445/6442/786/7134/6543/7139/7137/3691/1837/3569/22801/59283/3680/775/55799/70/1636/5563/3673/784/785/6546/487/4624/7169/6262/1756",33
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","15/2057","36/9399",0.416666666666667,1.90386485172581,2.87590749914577,0.00596380542818033,0.0336666435461793,0.0245032413178207,"5236/6476/5834/2645/2998/11181/2538/80201/3099/3101/178/7360/57733/8972/93432",15
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","24/2057","67/9399",0.358208955223881,1.63675545461801,2.76853734636382,0.00623641789501381,0.0346467660834101,0.0252165936607075,"5214/5315/5236/5106/2645/2027/218/217/5105/2538/222/229/219/226/80201/3099/3101/2203/5232/130/124/125/127/126",24
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","27/2057","78/9399",0.346153846153846,1.58167233835683,2.73037396856912,0.00655606352407851,0.0356943430203853,0.0259790406343857,"4843/29108/3553/91860/3569/3586/7099/3394/710/23643/5603/714/715/6374/1073/3592/163688/2353/929/4615/713/3725/810/716/3654/5600/6300",27
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","17/2057","43/9399",0.395348837209302,1.80645781280031,2.80542363151735,0.00662894941807156,0.0356943430203853,0.0259790406343857,"84649/38/50487/346606/337/335/2806/1208/4547/8612/8613/2168/80168/1056/5319/391013/5408",17
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","18/2057","47/9399",0.382978723404255,1.74993535307564,2.72802397884708,0.00776784227042104,0.0411931029492025,0.0299811456051338,"6833/8913/5315/5296/2645/8835/3651/774/775/80201/3099/3101/6514/9370/389692/9021/3767/777",18
"Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","10/2057","21/9399",0.476190476190476,2.1758455448295,2.85517338935325,0.00792764756313684,0.0414130842850432,0.0301412523217457,"586/587/217/8876/8875/219/339896/1807/53354/1806",10
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","29/2057","87/9399",0.333333333333333,1.52309188138065,2.59444099710783,0.00893781028212855,0.0460034352756617,0.0334821995089026,"477/782/27092/779/786/7134/6543/7139/845/7137/84701/480/486/59283/775/1339/55799/70/125965/784/170712/785/6546/487/4624/7169/6262/4519/4512",29
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","33/2057","102/9399",0.323529411764706,1.47829506134004,2.57070500487306,0.00909959844788858,0.0461573834313189,0.0335942459861027,"1080/5646/477/6344/8671/1361/1811/1357/3710/50487/5332/760/9545/5582/480/1131/486/1360/114/1358/5579/1504/440387/1056/5319/112/23236/391013/487/6262/5644/5408/5645",33
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","13/2057","31/9399",0.419354838709677,1.91614785076921,2.70427372856907,0.00958370087557797,0.0470120981641808,0.0342163240773888,"55586/7365/217/9104/54490/219/7364/10941/10720/54658/54576/54575/54577",13
"Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","13/2057","31/9399",0.419354838709677,1.91614785076921,2.70427372856907,0.00958370087557797,0.0470120981641808,0.0342163240773888,"38/54363/64902/51179/847/2752/9380/275/4594/189/6470/283871/112817",13
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","83/2057","300/9399",0.276666666666667,1.26416626154594,2.46132419630688,0.00967106019377435,0.0470120981641808,0.0342163240773888,"8913/4293/23542/3479/3082/5606/4254/5923/4804/782/27006/27330/2249/27092/779/2122/2323/285/4616/8911/994/8605/3315/786/84867/5924/5159/9048/3925/8074/1843/7010/2322/3164/3553/5582/7186/10912/1852/5156/4609/1847/1950/1848/59283/1969/11221/1944/774/775/5801/5603/55799/22808/8822/283748/9965/2277/5979/5579/3481/784/255189/5604/2353/929/115727/4615/3725/785/1436/3654/1946/5600/4908/4137/2248/123745/6300/3556/5154/777/1945",83
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","18/2057","48/9399",0.375,1.71347836655323,2.62301078128233,0.00993912695017246,0.0476533483912378,0.0346830385283596,"477/6476/6523/5332/5296/2538/480/486/6518/80201/3099/3101/6514/5579/80834/23236/8972/93432",18
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","54/2057","184/9399",0.293478260869565,1.34098306947644,2.47241707202697,0.0102243566956949,0.0483584438309893,0.0351962207732313,"6405/56920/7869/816/815/7224/59277/10371/5063/54437/4776/655/57144/5296/3984/6387/1949/90249/5361/64101/55558/7223/2048/10505/10154/7225/56924/80031/8482/658/7222/1969/10500/1944/2044/57689/55740/2047/137970/56896/54361/84448/1073/6091/27289/22885/56963/1946/1630/84628/6714/5365/3897/1945",54
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","23/2057","66/9399",0.348484848484849,1.59232333053432,2.55592349391754,0.010588607898556,0.0494135035265946,0.03596411384492,"8630/7365/6783/6718/1571/54490/5959/1588/1544/6715/1586/1646/1576/1581/7364/10941/8644/10720/54658/54576/54575/54577/6716",23
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","10/2057","22/9399",0.454545454545455,2.07694347460998,2.67670165626026,0.0117279954471276,0.0540105053486141,0.0393099016371868,"26/443/218/217/222/219/144193/84735/131669/10841",10
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","23/2057","67/9399",0.343283582089552,1.5685573106756,2.47201988885646,0.0128636163094985,0.058470983224993,0.0425563246329272,"816/815/27330/3710/5332/2906/2891/5582/91860/5502/775/814/2911/114/2905/5579/2915/5604/163688/2902/810/23236/2903",23
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","30/2057","93/9399",0.32258064516129,1.47395988520708,2.43124772285819,0.0130427445061394,0.0585251356044717,0.0425957377933298,"477/153/4069/3710/5332/1472/727897/148/5582/91860/480/1131/486/114/362/820/55503/5579/154/163688/147/1473/1470/1469/146/112/810/23236/1755/4586",30
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","27/2057","82/9399",0.329268292682927,1.5045175901443,2.42869437624053,0.0135215989420652,0.0599058180977572,0.0436006255027286,"4353/7365/1571/2944/2949/54490/7371/1807/10/7498/978/1576/7083/2941/7364/9/6241/10941/1806/10720/4830/54658/54576/54575/2939/54577/1548",27
"Organismal Systems","Sensory system","hsa04744","Phototransduction","12/2057","29/9399",0.413793103448276,1.89073474930012,2.54275943781623,0.0142273412110834,0.0621308937114214,0.0452200790320721,"2986/5957/2779/2792/91860/3000/5145/6010/163688/810/5148/1259",12
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","33/2057","105/9399",0.314285714285714,1.43605805958747,2.3782927362858,0.0143788639732147,0.0621308937114214,0.0452200790320721,"3675/3479/153/782/27092/779/3655/6445/6442/786/7134/6543/7139/7137/3691/1837/22801/59283/3680/775/114/55799/70/3673/784/112/785/6546/487/4624/7169/6262/1756",33
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","20/2057","57/9399",0.350877192982456,1.60325461197963,2.41794168951599,0.0152277622027134,0.0649965459871913,0.0473057567786475,"30/2182/38/1962/33/6342/34/6785/83401/35/1892/81616/84869/2180/1376/79993/23305/10449/36/1375",20
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","14/2057","36/9399",0.388888888888889,1.77694052827743,2.47206104695521,0.0154661672975832,0.0652187777608929,0.0474675014079281,"5214/5210/5208/229/3795/6652/26007/226/80201/3099/3101/2203/57016/441282",14
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","19/2057","54/9399",0.351851851851852,1.60770809701291,2.37044523427646,0.0172033338597923,0.0703170143281094,0.0511780976463232,"5888/29089/8940/2178/353497/91442/83990/675/55215/2177/146956/2176/201254/116028/2187/2175/641/197342/2189",19
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","25/2057","76/9399",0.328947368421053,1.50305119873091,2.33060577557494,0.0172643816496738,0.0703170143281094,0.0511780976463232,"1080/477/816/815/3710/54207/85366/5332/760/495/887/5582/91860/480/1131/114/6750/3772/5579/163688/112/3766/810/23236/2520",25
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","61/2057","217/9399",0.28110599078341,1.28445075710903,2.2438612200838,0.0172778949491926,0.0703170143281094,0.0511780976463232,"153/27006/27330/2249/1136/779/332/10683/2099/990/1869/5296/7365/1143/8600/2053/5582/54567/2944/2949/54490/9314/4609/54852/1950/1544/6258/774/775/114/90993/8822/1141/1576/993/5579/89832/5604/367/154/2353/2941/85315/7364/253152/10941/112/1139/3725/3838/402569/2248/6714/1555/10720/54658/54576/54575/2939/54577/9641",61
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","23/2057","69/9399",0.333333333333333,1.52309188138065,2.30828473343525,0.0185748275419319,0.0740367252234551,0.0538853759521087,"816/815/2906/6804/116444/2891/2354/5582/91860/84152/6531/775/814/90993/2905/5579/163688/2353/2902/3725/810/7054/2903",23
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","40/2057","134/9399",0.298507462686567,1.36396287884834,2.24602432250871,0.018614948056183,0.0740367252234551,0.0538853759521087,"779/3710/50487/85366/5332/8605/796/148/4879/1908/5582/79924/91860/10267/9826/185/133/775/114/283748/5739/72/552/5579/255189/5604/163688/147/5319/27094/146/112/797/810/23236/8398/391013/123745/553/157855",40
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","45/2057","154/9399",0.292207792207792,1.33517794796356,2.2197804213469,0.0192916531697895,0.0756182302553004,0.0550364262309254,"211/8630/586/790/4522/1723/587/7365/217/8564/25902/9104/2643/129607/29968/54490/219/5498/4143/6999/133686/53354/23057/212/80308/249/23498/251/248/441024/158067/7360/7364/10243/10941/6470/1728/169355/554235/10720/4830/54658/54576/54575/54577",45
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","18/2057","51/9399",0.352941176470588,1.61268552146187,2.32215406433874,0.0194446877799344,0.0756182302553004,0.0550364262309254,"5050/50487/79153/8605/9514/8612/79888/284161/283748/8613/133121/255189/5319/7368/11145/8398/391013/123745",18
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","35/2057","115/9399",0.304347826086957,1.39064910908668,2.23098098421816,0.0198145801906736,0.0762099238102832,0.0554670723671836,"816/815/3785/1136/779/2775/3710/5332/5296/60482/1143/5582/2792/1131/8973/774/775/814/114/3763/90993/1141/5579/89832/3761/2786/1128/5604/2353/112/1139/1132/1129/23236/3786",35
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","31/2057","100/9399",0.31,1.41647544968401,2.21614900896205,0.0210452971434706,0.0800636304371164,0.058271875385811,"10344/2920/3560/6387/6347/6364/8809/27178/6370/3572/3569/3586/29949/9547/3577/6374/5473/5196/1230/2829/10803/1237/3579/6357/1436/1232/2826/6368/6351/6359/6348",31
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","29/2057","93/9399",0.311827956989247,1.42482788903351,2.17921784112194,0.0231637394505755,0.0871753635236713,0.0634479337525667,"3675/4843/1870/3909/5743/7188/22798/3655/4616/79444/1869/898/5296/3910/1164/7186/10912/1284/3915/4609/6258/1030/3673/1163/9134/1282/1287/3914/1288",29
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","30/2057","97/9399",0.309278350515464,1.41317803427071,2.16502343049968,0.0236993425712795,0.0882422329781685,0.0642244221976444,"8913/816/815/2775/3710/8911/5332/2906/51655/2891/3762/5582/2792/91860/4544/775/114/3763/2905/3765/5579/2786/163688/2353/112/2902/810/23236/2903/6262",30
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","27/2057","86/9399",0.313953488372093,1.43454002781201,2.14270255795495,0.0254683204035532,0.0938306541183539,0.068291784350802,"3675/1496/782/27092/88/779/3655/6445/6442/786/6543/3691/1837/22801/51176/59283/3680/775/55799/3673/784/785/6546/29119/487/6262/1756",27
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","29/2057","94/9399",0.308510638297872,1.40967014553316,2.11284544903417,0.0266952202734732,0.0973263239137045,0.0708360011642601,"5743/2920/7188/4318/1440/6347/112744/6364/727897/3553/2354/7186/27190/3569/4322/6279/3934/4314/5603/6374/2353/53342/8061/3725/5600/6300/4312/4586/9641",29
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","25/2057","79/9399",0.316455696202532,1.44597330510821,2.1068912972597,0.027962459609425,0.100210705280831,0.0729353103096573,"6534/8218/6507/6530/50617/6804/6505/6539/525/23025/6538/6616/440279/6531/245973/10814/245972/774/528/6512/10815/246213/527/6536/26052",25
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","11/2057","28/9399",0.392857142857143,1.79507257448434,2.23008027218647,0.0280589974786326,0.100210705280831,0.0729353103096573,"7166/2643/5860/249/251/248/10243/7054/8644/57016/441282",11
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","18/2057","53/9399",0.339622641509434,1.55182946404821,2.13234566592433,0.0288984032071616,0.102166071944511,0.0743584643926966,"477/8218/2099/5332/793/6543/5582/480/486/5745/5579/3816/3817/624/112/23236/6546/26052",18
"Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","6/2057","12/9399",0.5,2.28463782207098,2.35686981586098,0.0296201708732825,0.103670598056489,0.0754534879087827,"4804/2213/10332/1134/81607/4684",6
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","16/2057","46/9399",0.347826086956522,1.58931326752764,2.12069075684042,0.0306200775580842,0.106109179656728,0.0772283352689566,"211/1356/3162/644/7365/54490/5498/212/2395/7364/10941/10720/54658/54576/54575/54577",16
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","17/2057","50/9399",0.34,1.55355371900826,2.07725527872323,0.0328051593787277,0.112566723358379,0.0819282618127152,"5315/38/32/5106/217/51011/97/5105/9380/219/197257/134526/130/124/125/127/126",17
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","42/2057","148/9399",0.283783783783784,1.29668633144569,1.92558073310172,0.0368069505872181,0.125072162189576,0.0910299646612855,"1870/3479/27006/4854/7479/2249/7481/10683/2099/4616/1869/5296/7472/11211/10297/7475/8074/8600/54567/10912/23493/4609/51176/1950/675/53358/89780/7476/8822/9965/54361/23462/8313/5604/2353/3725/2535/3714/399694/2248/8326/388585",42
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","28/2057","93/9399",0.301075268817204,1.37569589285994,1.92718795938569,0.039360861450519,0.132464437573862,0.0964102071966155,"5606/816/815/779/3710/5332/3972/8605/1958/91860/2796/775/114/5603/4323/283748/5579/255189/5604/163688/112/3725/810/23236/5600/123745/6300/6714",28
"Metabolism","Lipid metabolism","hsa00592","alpha-Linolenic acid metabolism","10/2057","26/9399",0.384615384615385,1.75741370928537,2.0469545660405,0.0411468531498229,0.137156177166076,0.0998249469900465,"30/50487/8605/283748/255189/5319/11145/8398/391013/123745",10
"Metabolism","Amino acid metabolism","hsa00310","Lysine degradation","20/2057","63/9399",0.317460317460317,1.450563696553,1.89921322386221,0.0445672781041564,0.146402066790899,0.106554286205707,"38/2122/2639/8985/2146/51166/7468/217/1962/11105/1892/8424/84787/219/63976/56979/55526/64754/23127/10919",20
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","43/2057","154/9399",0.279220779220779,1.27583670583184,1.82678163290421,0.0447572032760749,0.146402066790899,0.106554286205707,"816/782/815/5743/27092/779/2775/3710/4776/85366/5332/5020/8605/786/3762/5582/91860/59283/775/814/114/55799/3763/1827/283748/5563/3765/5579/784/3761/255189/5604/163688/2353/112/3725/810/5021/785/23236/123745/6714/6262",43
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","22/2057","71/9399",0.309859154929577,1.41583188973413,1.86157429564621,0.0469207101502638,0.152057856968448,0.110670680861246,"2099/3972/5296/2645/1154/8600/8835/1447/53358/1586/5603/6514/5604/2353/9306/7054/9021/5600/399694/6300/6714/30837",22
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","33/2057","115/9399",0.28695652173913,1.3111834457103,1.77715585120947,0.0512728267064698,0.16463751694738,0.119826403312078,"1591/5744/3710/5332/5143/2625/1594/6446/8074/8600/1958/10893/65266/5582/9826/8521/4322/6258/4929/114/4323/90993/5745/65268/5579/5604/2353/112/23236/142680/4326/27347/632",33
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","44/2057","160/9399",0.275,1.25655080213904,1.73240153853101,0.0536352100067413,0.170657486385086,0.124207854752454,"6401/920/9369/1462/51208/6614/4897/3655/4099/24146/8506/5818/29126/22865/6385/64101/79679/3680/57689/4684/10666/5789/9073/4359/1493/149461/26050/22871/257194/947/6403/114798/139065/9378/84189/84631/5133/1364/84628/80380/3897/100288814/3112/927",44
"Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","30/2057","104/9399",0.288461538461538,1.31806028196403,1.72635095083795,0.0572823697425889,0.180620084773929,0.131458828617416,"56895/50487/1120/9663/6901/8605/1119/375775/10400/84803/8612/79888/9162/283748/8613/1040/166929/2819/255189/5319/162466/11145/8398/150763/391013/123745/196051/3931/128966744/139189",30
"Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","7/2057","17/9399",0.411764705882353,1.88146644170551,1.92535228811724,0.0581789629944134,0.181809259357542,0.132324333126391,"10998/6342/6718/51302/1581/8309/1582",7
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","26/2057","89/9399",0.292134831460674,1.33484457019877,1.6799296675409,0.063823081138286,0.196718291822108,0.143175418408873,"153/113457/3710/5332/10382/5159/5582/5156/1950/3358/112714/2911/114/5579/2915/5604/983/260334/112/79861/23236/6714/5154/7278/10381/347688",26
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","29/2057","101/9399",0.287128712871287,1.3119702344566,1.66842524054319,0.0640739579077725,0.196718291822108,0.143175418408873,"4254/816/815/7479/7299/7481/2775/5332/7472/7306/11211/7475/5582/91860/1910/51176/89780/7476/114/90993/54361/5579/5604/163688/112/810/2535/23236/8326",29
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","17/2057","54/9399",0.314814814814815,1.43847566574839,1.71033191318067,0.0653102300059225,0.198001156734931,0.144109112570988,"586/1789/26227/259307/587/64902/1788/2805/27232/2806/1786/29968/635/4143/883/6898/102724560",17
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","41/2057","150/9399",0.273333333333333,1.24893534273213,1.62671876349218,0.0659866923785181,0.198001156734931,0.144109112570988,"1870/3082/1496/27006/7479/2249/1015/7481/4616/1869/898/5296/7472/11211/10297/7475/8074/10912/83998/4609/51176/1950/6258/1030/53358/89780/7476/8822/9965/54361/7015/1045/8313/5604/9134/2535/29119/399694/2248/8326/4583",41
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","13/2057","39/9399",0.333333333333333,1.52309188138065,1.73260688112699,0.0666886397349924,0.198001156734931,0.144109112570988,"4522/25902/1757/27232/29958/275/635/4143/10841/441024/7298/6470/102724560",13
"Organismal Systems","Excretory system","hsa04966","Collecting duct acid secretion","10/2057","28/9399",0.357142857142857,1.63188415862213,1.77235694158396,0.0667546756992055,0.198001156734931,0.144109112570988,"6521/760/495/50617/525/245973/245972/528/1188/527",10
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","31/2057","110/9399",0.281818181818182,1.28770495425819,1.60652274162772,0.0709707573241426,0.208439842305009,0.15170659199342,"1634/5933/7018/655/268/57817/7036/653/3398/656/3624/130399/652/8200/3397/1875/269/4609/7057/658/9611/3547/1030/392255/4838/4681/5308/3626/64388/56963/353500",31
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","28/2057","98/9399",0.285714285714286,1.3055073268977,1.60915367725469,0.0716634700398502,0.208439842305009,0.15170659199342,"8913/477/816/815/779/3710/8911/5332/3762/3164/5582/91860/3949/480/747/185/775/814/4929/114/90993/5579/51305/163688/112/810/23236/5138",28
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","11/2057","32/9399",0.34375,1.5706885026738,1.71159704614863,0.0720606311968745,0.208439842305009,0.15170659199342,"32/594/23417/1962/4329/35/1892/1629/4594/8801/18",11
"Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","7/2057","18/9399",0.388888888888889,1.77694052827743,1.74633330718945,0.0778166117181813,0.222980341291248,0.162289451405961,"2182/32/81616/84869/2180/55301/23305",7
