"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"209365_s_at",-2.47351721184825,6.40748001346243,-47.1704169436507,3.85680688337106e-173,8.58833756789067e-169,385.195171820667,"ECM1"
"205019_s_at",-2.88830304214007,5.71838411691607,-42.471015299747,7.56749222746803e-157,8.42564584606291e-153,347.932055294533,"VIPR1"
"218002_s_at",-3.50203171846319,5.16113331434785,-42.1237789158903,1.34009317094159e-155,9.94706491017581e-152,345.075320078803,"CXCL14"
"220114_s_at",-1.94159134121931,4.92550084399109,-39.8697378304186,2.41615816143452e-147,1.3450752484706e-143,326.173254583681,"STAB2"
"205866_at",-3.43864607620126,7.35300703671102,-38.6443254093368,9.6565497352124e-143,4.30064099007419e-139,315.633113914971,"FCN3"
"204428_s_at",-3.09527358944166,6.81413829285973,-36.7551884910213,1.72900192081371e-135,6.41690246211327e-132,299.014208938519,"LCAT"
"207609_s_at",-4.23959314516973,6.49605958421788,-36.2906734911547,1.12439579663867e-133,3.57686365707857e-130,294.858677845687,"CYP1A2"
"207804_s_at",-2.71238283398937,4.87302839797028,-33.9230931991031,2.98351048659079e-124,8.30460143942545e-121,273.253777587296,"FCN2"
"220496_at",-2.27018244589723,5.27857658571946,-33.4638296088863,2.17751617905431e-122,5.38765891946459e-119,268.980990035247,"CLEC1B"
"205225_at",-2.86655871106424,5.92263522756692,-33.0258366233362,1.33495870130697e-120,2.97268603607036e-117,264.88152843465,"ESR1"
"206797_at",-3.85668054807508,7.08702373012996,-32.9579668222637,2.53147147957003e-120,5.12461880973322e-117,264.244152961024,"NAT2"
"211762_s_at",2.4175237450032,6.34665020970331,32.0482011248993,1.41983150197719e-116,2.63473399050233e-113,255.64541311317,"KPNA2"
"207608_x_at",-5.22313508399747,9.19313909025009,-31.8917351971318,6.32986892771323e-116,1.08425785601783e-112,254.15631233188,"CYP1A2"
"219918_s_at",3.0091741690015,5.23839068503081,31.441387828513,4.75316670032338e-114,7.56025114877151e-111,249.853697843519,"ASPM"
"203554_x_at",2.41968799884258,6.59268465541345,31.3796177310962,8.61121459651237e-114,1.27836351090092e-110,249.261633249216,"PTTG1"
"210481_s_at",-2.13914662868825,4.77270864443639,-31.3562299831415,1.07853017826506e-113,1.5010443756004e-110,249.037342400091,"CLEC4M"
"207262_at",-3.57269735760244,7.23657873194222,-31.3445361261391,1.20705429148995e-113,1.5810991154646e-110,248.92517244876,"APOF"
"205911_at",-1.69025417748148,4.60389481178481,-31.1077143777842,1.18426866877971e-112,1.46507192868814e-109,246.649994459596,"PTH1R"
"209189_at",-3.77842703652877,7.67299137109719,-30.9653622459923,4.68769866775807e-112,5.49398283861246e-109,245.27916919755,"FOS"
"200910_at",1.4970251697903,8.84901109874178,30.9571415284153,5.07571391482685e-112,5.65129987276821e-109,245.199931381951,"CCT3"
"201088_at",2.2335734157838,7.49040749236266,30.6623066642879,8.84018957014744e-111,9.3739686356211e-108,242.352774827376,"KPNA2"
"220432_s_at",-3.48716118796874,6.34749704344224,-30.5940505982101,1.715471427434e-110,1.73636898845911e-107,241.692175253751,"CYP39A1"
"203316_s_at",1.51483381200258,9.46778019209859,30.5033207532717,4.14449153110805e-110,4.01258858324844e-107,240.813219825809,"SNRPE"
"206755_at",-3.51885744842784,6.56519668616994,-30.3861043661304,1.29720561320733e-109,1.20359060812086e-106,239.67624297203,"CYP2B6"
"207584_at",-2.79427684372414,6.00339391860405,-30.3662097973143,1.57464536552873e-109,1.40256811998375e-106,239.483109771886,"LPA"
"212554_at",2.48874174401769,5.90291854191477,30.1737670661504,1.02904463325183e-108,8.81337149740455e-106,237.6125251623,"CAP2"
"218009_s_at",2.42120012385714,4.96465469372961,30.1459254870733,1.35062248218411e-108,1.11391338641762e-105,237.341542515696,"PRC1"
"214710_s_at",2.47598266095223,4.86134522342464,29.7316076165543,7.80834511945057e-107,6.20986532571162e-104,233.298412912444,"CCNB1"
"206938_at",-2.64075300508796,5.93859690105111,-29.5976944929723,2.90991008319438e-106,2.23440957698526e-103,231.98741684828,"SRD5A2"
"205554_s_at",-3.01513684191928,6.80944287008751,-29.5356548791548,5.35623597315456e-106,3.97575542167353e-103,231.37936527849,"DNASE1L3"
"201693_s_at",-2.83270689699131,6.83846737689639,-29.3672592608512,2.81219606952491e-105,2.02006393794131e-102,229.72672558614,"EGR1"
"209531_at",-2.54517379757326,7.0376181173303,-29.1175509188035,3.30755480156184e-104,2.30164469753684e-101,227.270229269491,"GSTZ1"
"203666_at",-2.52961126870986,7.19534637549837,-28.9684594836936,1.44564736049507e-103,9.75505315863762e-101,225.800245763596,"CXCL12"
"201890_at",3.05129776436387,5.44403294930876,28.8280463010689,5.8116151149352e-103,3.80626604056991e-100,224.413589095984,"RRM2"
"209687_at",-3.23544260853495,7.60557452752032,-28.8111611876531,6.87100966326789e-103,4.37153266233284e-100,224.246693996953,"CXCL12"
"213629_x_at",-4.0584362914377,9.22244494123129,-28.806003826136,7.23162416271786e-103,4.47316130153893e-100,224.195711624316,"MT1F"
"220491_at",-5.4734509862735,8.97683978408326,-28.7575774828985,1.16921091904008e-102,7.0367537149147e-100,223.716858343394,"HAMP"
"214420_s_at",-2.36062887858177,6.15651778335836,-28.7346459021766,1.46803942272367e-102,8.60271101716071e-100,223.490015345488,"CYP2C9"
"211978_x_at",0.750805014018678,11.6637158546057,28.7017448910477,2.03515777993457e-102,1.16202290880982e-99,223.164453270599,"PPIA"
"220186_s_at",-2.39424010976207,6.29036528504116,-28.5931136957908,5.98888295622138e-102,3.33401114172844e-99,222.088692989727,"CDHR2"
