"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0071459","protein localization to chromosome, centromeric region",41,0.677141391890711,1.8240478420344,5.99316239927802e-05,0.00141364009589196,0.00112278209356124,6796,"tags=63%, list=22%, signal=49%","1058/7272/9212/983/701/8367/83903/8365/8370/9735/8362/27085/8970/54908/8360/8335/3012/8366/8359/8294/55166/54069/55055/554313/57082/121504"
"GO:0030449","regulation of complement activation",21,-0.687447835777797,-2.26951035270742,6.33304125552482e-05,0.001488019228333,0.00118185763781194,2119,"tags=52%, list=7%, signal=49%","722/1379/718/2/710/79987/5648/3553/11326/1378/922"
"GO:0071346","cellular response to type II interferon",98,-0.386450391333248,-1.85014575026361,6.48484787163249e-05,0.00151780493427939,0.00120551490204621,3474,"tags=28%, list=11%, signal=24%","83666/1906/801/140885/9076/1612/7294/730249/7124/3055/7097/361/55647/2633/383/4360/7098/388646/6348/6347/5292/7099/3394/3263/445/2204/11093"
"GO:0050832","defense response to fungus",61,-0.456820771731558,-1.8930047293718,6.55610434826954e-05,0.001528580944585,0.00121407373639615,3932,"tags=43%, list=13%, signal=37%","9958/6688/23406/1673/1669/5336/50856/84818/6863/64581/26253/5322/1524/383/283/4353/116842/3273/820/6279/338339/170482/85480/6283/1668/57817"
"GO:0007143","female meiotic nuclear division",41,0.675419847761398,1.81941043706751,6.73319894258123e-05,0.00156385639808151,0.00124209122659272,3827,"tags=39%, list=13%, signal=34%","220134/7153/7272/9133/221150/5347/9319/10403/23397/6790/728637/56776/11077/347688/79173/84501"
"GO:1901890","positive regulation of cell junction assembly",109,-0.360564092550234,-1.76067817692,6.90546895088445e-05,0.00159774628932296,0.00126900823548997,1733,"tags=21%, list=6%, signal=20%","158038/57633/23767/5789/10979/3273/6385/7010/64084/7476/147381/5020/84631/577/3556/2047/1969/9378/6422/54674/22865/84189/2658"
"GO:0034308","primary alcohol metabolic process",103,-0.37379668029472,-1.80361595717433,7.00307415092058e-05,0.00161416865029964,0.00128205167765903,2811,"tags=31%, list=9%, signal=28%","54884/8228/55825/220/27010/27284/84649/5950/6817/6783/6822/84869/1562/3479/219/8630/5959/1910/54363/130/126/27163/217/1576/124/125/8608/127/653/1558/9227/1544"
"GO:0002673","regulation of acute inflammatory response",46,-0.523635838074846,-2.2165485931179,7.04789352802919e-05,0.00161443199466413,0.00128226083863129,3308,"tags=48%, list=11%, signal=43%","6693/2865/53833/7124/2161/84699/5008/2867/718/114548/3572/325/8600/4889/1910/388125/3818/2213/3553/3569/5743/1776"
"GO:0000724","double-strand break repair via homologous recombination",188,0.512088144307987,1.54714335761032,7.05748067611341e-05,0.00161443199466413,0.00128226083863129,9006,"tags=44%, list=30%, signal=31%","5347/29128/8438/8318/10721/147872/7516/9401/55010/641/5888/11144/2187/4171/10635/1111/8317/116028/4796/25788/51659/4175/84296/353497/2237/4173/7517/4172/22891/4176/286053/3014/84515/4174/675/253714/157777/9907/126549/63979/6944/56154/51750/79000/51149/79035/55257/9400/56893/84464/55086/23126/7515/65123/149840/11073/8914/672/441161/9025/2521/84717/5889/142/57697/6502/51548/10902/5885/55719/23503/8607/3980/5892/7979/86/80198/112441434/80010/10213/1108/3276/10856"
"GO:0061687","detoxification of inorganic compound",22,-0.656426990425569,-2.18857320162823,7.4658607232033e-05,0.00170143036481423,0.00135135919857269,2243,"tags=55%, list=7%, signal=51%","64116/7779/4489/847/4499/4501/4502/4495/4493/645745/4494/4496"
