"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"ILMN_2400292",145.202192307692,319.759341317365,9.29207528707501,8.48245488615406e-17,8.12564231017374e-15,22.2931940936257,"MAPK9"
"ILMN_2400297",29.7057491638796,156.814131736527,6.82165416571626,1.60910548581374e-10,3.2071449593179e-09,11.2044378937447,"MAPK9"
"ILMN_1713505",209.616100334448,516.087185628743,5.44936332276363,1.80287538148762e-07,1.66372209053739e-06,5.72318153796014,"NPC1"
"ILMN_1684690",37.994585284281,189.365089820359,5.20982506305175,5.55555885262752e-07,4.5745633552121e-06,4.84259619301074,"HDAC11"
"ILMN_2073307",-2048.85719899666,4912.01011976048,-5.01962973025245,1.32584070339383e-06,1.00193921695948e-05,4.16217834741833,"IL10"
"ILMN_2376723",93.0370468227424,231.050119760479,4.84138067884506,2.93725682031942e-06,2.05161427676983e-05,3.54030612729897,"CDKN2B"
"ILMN_1723198",32.1829933110368,160.051556886228,4.03998391407255,8.16293724145245e-05,0.00040589105405066,0.94987797263396,"CDKN2B"
"ILMN_2203896",-24.9826672240802,164.634251497006,-3.85791110086361,0.000163513072719118,0.000750146569483525,0.411891386889546,"SMAD7"
"ILMN_1699651",-53.893364548495,148.529341317365,-3.44066128342869,0.000734407273800298,0.00279752241896303,-0.744391227363419,"IL6"
"ILMN_1781285",-3008.84199665552,8045.81562874251,-3.37976326804193,0.000904684636680613,0.00336119073384627,-0.903914481082636,"DUSP1"
"ILMN_1682738",105.885906354515,523.09005988024,3.35815128316626,0.000973522412764127,0.00358481722242847,-0.959947316475972,"SMAD3"
"ILMN_2203891",-23.7699381270903,183.96628742515,-3.27771638829195,0.00127508114022674,0.00452579687504885,-1.16579756372522,"SMAD7"
"ILMN_1728106",-6.79273411371237,99.1964071856287,-3.08925386202858,0.00235377732356192,0.00773080583742345,-1.63126924823622,"TNF"
"ILMN_1741477",179.917660535117,1101.1671257485,2.84790562524518,0.00495845095316562,0.0146725747877504,-2.1920770889629,"SMAD4"
"ILMN_1758086",-4.29238461538463,89.1245508982036,-2.82535098484123,0.005303690102061,0.0155425577786556,-2.24242181810639,"SNAI1"
"ILMN_2163206",9.89098327759196,111.972694610778,2.63306987370681,0.00926237656786909,0.0251069565932745,-2.65702248781089,"CCDC110"
"ILMN_1787212",6.57659531772574,100.438023952096,2.48228569022707,0.0140507891279987,0.0357056945073114,-2.96361161388526,"CDKN1A"
"ILMN_1718275",-4.01400836120401,114.194131736527,-2.46172534742615,0.0148514102948035,0.0374187220727659,-3.00413751601857,"IL37"
"ILMN_2384241",336.726356187292,1714.19916167665,2.46075895316036,0.0148900205700249,0.0375100108285715,-3.0060347463907,"TGFBR2"
"ILMN_1759175",13.4499197324415,156.897305389222,2.37776439835298,0.0185576006458143,0.0452112989220988,-3.16641454976519,"DUSP10"
"ILMN_1784602",-996.619178929766,4255.00131736527,-2.30024263841785,0.022681546240094,0.0535883241502705,-3.31162986400992,"CDKN1A"
"ILMN_2110908",-142.960901337793,606.383293413174,-2.23082238452965,0.0270353550470945,0.0620871140220618,-3.43787860876461,"MYC"
"ILMN_1745927",4.07538461538461,117.791017964072,2.10920751451514,0.0364296951669963,0.0794252953094954,-3.65034116368822,"TGFBR1"
"ILMN_1726245",200.809560200669,1176.07299401198,2.104228337258,0.036867852487238,0.0801700448212975,-3.6588021366397,"TGFBR2"
"ILMN_2137789",-55.5044314381271,236.631077844311,-1.8512806150649,0.065909280229229,0.128442077132462,-4.06374843407935,"KLF4"
"ILMN_1697710",2.37959866220736,96.1255688622754,1.79589385160165,0.0743336442160571,0.141799359519178,-4.14584769972164,"IL37"
"ILMN_2256907",-3.11647658862877,122.465269461078,-1.77943774757703,0.0770013230303214,0.145835932459812,-4.16978164203585,"MAPK10"
"ILMN_1771203",-7.24471906354518,183.782275449102,-1.74756114764756,0.0823927514888198,0.154134637332145,-4.21554387309726,"SMAD2"
"ILMN_1748281",-9.27493311036789,126.931916167665,-1.56170660584468,0.120265228702167,0.208828061227899,-4.46652255030778,"MAPK10"
"ILMN_1680618",-171.105423076923,1085.24233532934,-1.4315459262413,0.154157518262074,0.25400564342611,-4.62606597338644,"MYC"
"ILMN_1779857",-17.8409314381271,185.969520958084,-1.42489672002852,0.156068085385505,0.256394859802565,-4.63385479797311,"KLF4"
"ILMN_2353936",-1.67234782608696,82.3083832335329,-1.39929817332442,0.163593028227889,0.266078339295418,-4.66351167740854,"IL37"
"ILMN_1808391",2.17018227424749,84.0561676646707,1.10420263599004,0.271106346213598,0.392249197894026,-4.96743348562475,"DUSP4"
"ILMN_2129668",1.29640969899665,94.8275449101796,0.921808084893409,0.357969066270185,0.484451401436718,-5.12004824321467,"TGFB1"
"ILMN_2340131",-0.689247491638797,90.9411377245509,-0.575246586113995,0.565904948722168,0.676530459566249,-5.33499008251945,"MAPK10"
"ILMN_1696870",3.943364548495,225.573952095808,0.504789159060874,0.614377681645476,0.717830740477685,-5.36658228709745,"TGFBRAP1"
"ILMN_1754521",-0.760364548494982,107.402934131737,-0.483926569187625,0.629077010026906,0.730173712742046,-5.37514878206585,"SMAD2"
"ILMN_1674167",-0.701117056856192,100.847964071856,-0.471053142123447,0.638222420271758,0.737915590521074,-5.38025503554028,"IL10"
"ILMN_1744862",0.65533612040135,107.611856287425,0.363923726090958,0.716378962163889,0.798823819395814,-5.41742169161959,"TGFBR2"
"ILMN_1751036",0.465307692307698,105.773113772455,0.317416398774202,0.751327332262507,0.825922505513064,-5.43059338852061,"SMAD2"
"ILMN_2308806",-0.513814381270903,124.680598802395,-0.300268793916444,0.764348563104564,0.835867693555662,-5.43499682765041,"MAPK8"
"ILMN_1670111",-0.408630434782614,105.116107784431,-0.25527454904377,0.798827677895107,0.861390529186561,-5.44539006729952,"CDKN2B"
"ILMN_1766904",0.734919732441469,118.616467065868,0.213238972418299,0.83140273809993,0.884762983996691,-5.45358006621289,"MAPK10"
"ILMN_1849941",0.424847826086932,271.49005988024,0.0437028203179559,0.965193917807418,0.977107852786023,-5.47169926558369,"MAPK8"
"ILMN_2283398",-0.0625785953177295,100.831137724551,-0.0402175935097683,0.967968074170762,0.979183095466199,-5.47182094244663,"DUSP4"
