"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007052","mitotic spindle organization","41/4095","134/18986",0.305970149253731,1.41859566635686,2.5499915040107,0.0090440714427231,0.0685236945806319,0.0555453536167243,"TACC3/WDR62/NDC80/AURKA/TPX2/BIRC5/KIF4A/MISP/MYBL2/TTK/CDC20/STMN1/NEK2/GPSM2/STIL/DLGAP5/TUBG1/CCNB1/PSRC1/CDCA8/KIF23/KIF11/CENPE/NUF2/INCENP/CENPJ/SPC25/CENPH/CCSAP/SASS6/RACGAP1/KIF15/PLK1/KIFC2/PLK3/AURKB/PRC1/KIF4B/KIFC1/UHRF1/TBCE",41
"GO:0045861","negative regulation of proteolysis","83/4095","303/18986",0.273927392739274,1.27003308389447,2.48476491175602,0.00914616628179357,0.0692130298943018,0.0561041292926802,"TMEM98/DPEP1/ITIH1/PTPN3/PTGS2/CPB2/BIRC5/FETUB/SERPINA4/PAPLN/MMP9/R3HDML/BIRC7/CST4/PCSK1N/ITIH6/WFDC1/TFPI2/SERPINE1/AMBP/SLCO1B3/SERPINI2/COL7A1/RARRES1/SPINK4/PI3/CSTL1/PRKCG/PZP/QRICH2/SPINK5/CSN2/MICAL1/SERPINE2/IL10/PI15/THBS1/SERPINA10/ACP4/ECM1/GPC3/CDKN2A/SERPING1/SERPINH1/SPOCK1/CD109/SERPINI1/FABP1/SPINK1/PI16/SERPINA12/SPINT1/SERPINB8/MAP1A/SERPINF2/PBK/TM4SF20/USP38/CST5/CST2/CST1/SERPINB9/OPRPN/TTC36/A2M/WFDC10A/GAS1/SERPINA11/LRRK2/SPINK14/SRC/MAGEA3/SERPINA1/SERPINB2/MIR339/MIR126/CR1/SERPINB11/SERPINB4/SPINK13/CARD18/ANXA8/F8A3",83
"GO:0003209","cardiac atrium morphogenesis","12/4095","28/18986",0.428571428571429,1.98702250130822,2.74081758240991,0.0092511017569744,0.0696311576329182,0.0564430639231105,"WNT2/NSD2/SOX4/DLL4/HEY2/CCN1/BMP10/TBX20/MESP1/SHOX2/NKX2-5/MYH6",12
"GO:0006541","glutamine metabolic process","12/4095","28/18986",0.428571428571429,1.98702250130822,2.74081758240991,0.0092511017569744,0.0696311576329182,0.0564430639231105,"CPS1/ASNS/CAD/PHGDH/SLC38A1/GLS/GLS2/GLUL/GLUD1/GLYATL1/GLYATL1B/ARHGAP11B",12
"GO:0009081","branched-chain amino acid metabolic process","12/4095","28/18986",0.428571428571429,1.98702250130822,2.74081758240991,0.0092511017569744,0.0696311576329182,0.0564430639231105,"BCAT1/ACAT1/BCKDHB/BCAT2/HMGCL/ALDH6A1/ECHS1/IVD/DBT/HMGCLL1/PPM1K/ACADSB",12
"GO:0035116","embryonic hindlimb morphogenesis","12/4095","28/18986",0.428571428571429,1.98702250130822,2.74081758240991,0.0092511017569744,0.0696311576329182,0.0564430639231105,"ALX4/PITX1/FGF4/TBX4/BMP4/OSR1/GPC3/RSPO2/WNT7A/ALX3/MSX1/OSR2",12
"GO:0071692","protein localization to extracellular region","102/4095","382/18986",0.267015706806283,1.2379878411292,2.46407321227701,0.00931667987646376,0.0696311576329182,0.0564430639231105,"CFTR/ABCC8/TMEM132A/NOS2/GIPR/IGF1/NNAT/PTPRN/ACSL4/GAL/DRD4/TRPM5/AFM/C1QTNF3/GNAO1/CD200/TREM2/CHGA/PCK2/CBLN1/SFRP1/COMP/STX1A/GCK/CWH43/EXPH5/STEAP3/GCG/CNR1/LTBP2/ACVR1C/PFKFB2/SOX4/IL1B/NECAB3/GNAZ/VGF/AP1M2/RHBDF2/ANO1/NR0B2/SNAP25/CHRM3/RSAD2/MTNR1B/EDNRB/IL6/BLK/IL1RN/TLR4/CCN3/RBP4/MTTP/PDX1/ILDR2/ABCA12/EPHA5/CLTRN/GPR119/GLUD1/ANKRD1/FOXO1/ADCY8/NBL1/GIP/SSTR5/SLC2A2/SLC9B2/SLC30A8/STXBP4/PRKCB/OR51E2/IL12A/CPLX1/GPR27/PLA2G1B/KRT20/FGG/FGA/FGB/SCG2/BSG/SNCG/SAA1/BRSK2/LEP/PCSK1/RIMS2/DAND5/PLCB1/MAFA/ABAT/BMP8A/FAM3B/ADRA2C/C1QTNF12/EFNA5/PLA2G6/RFX6/KCNJ11/SUCNR1/ANG",102
"GO:0008207","C21-steroid hormone metabolic process","15/4095","38/18986",0.394736842105263,1.83015230383651,2.68619916486827,0.00935095025573154,0.0696311576329182,0.0564430639231105,"DKK3/AFP/DHRS2/LHB/BMP5/SCP2/EGR1/AKR1D1/EDNRB/SRD5A1/CYP17A1/ADM/AKR1C2/WNT4/AKR1C3",15
"GO:0045652","regulation of megakaryocyte differentiation","15/4095","38/18986",0.394736842105263,1.83015230383651,2.68619916486827,0.00935095025573154,0.0696311576329182,0.0564430639231105,"SCIN/TESC/LOX/H4C8/PF4/HMGB2/FAXDC2/L3MBTL1/H4C14/H4C12/H4C9/H4C5/H4C4/H4C1/H4C2",15
"GO:0051385","response to mineralocorticoid","15/4095","38/18986",0.394736842105263,1.83015230383651,2.68619916486827,0.00935095025573154,0.0696311576329182,0.0564430639231105,"SGK1/INHBA/FOSB/AANAT/HTR1B/ACE/AVPR1A/SCNN1G/FOS/NPAS4/FOSL1/TH/SRC/STK39/NEFL",15
