"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060390","regulation of SMAD protein signal transduction","20/4095","80/18986",0.25,1.15909645909646,0.747783714396426,0.265204510456757,0.612873354777248,0.496795559867438,"TGFBR3/BMP7/AMH/DKK1/BMP5/INHBA/BMP4/GDF5/CCN3/KIAA0319/CILP/GDF6/NODAL/BMP10/TBX20/BMPER/ATOH8/PSG9/MIR483/GDF2",20
"GO:0002064","epithelial cell development","51/4095","219/18986",0.232876712328767,1.07970629066519,0.622139177921564,0.291076668284789,0.657535542284247,0.532998759557051,"PAX6/ROS1/ESR1/VSIG1/SIPA1L3/HOXA13/PLOD3/NKX3-2/EXPH5/BMP5/AMOTL2/ARHGEF26/TJP2/POF1B/SPDEF/BMP4/SOX9/IL1B/NKX2-2/BFSP1/PODXL/FOXJ1/IL6ST/EDNRB/SIX3/FRMD6/EPHA2/ABCA12/WNT7A/HYDIN/STC1/HOXB13/NPHS1/FRZB/TMEM79/IHH/DNASE1L2/AR/BFSP2/MYD88/INSM1/SFN/FOXC2/TYMS/KCNE1/ADIPOQ/TMIGD1/PLCB1/PDE2A/SRC/TLR9",51
"GO:0060441","epithelial tube branching involved in lung morphogenesis","8/4095","30/18986",0.266666666666667,1.23636955636956,0.679436915399316,0.312097960947,0.684658718132411,0.554984824419945,"FOXF1/WNT2/BMP4/SOX9/SPRY2/RSPO2/DLG5/HHIP",8
"GO:0010631","epithelial cell migration","23/4095","97/18986",0.237113402061856,1.09934921893685,0.51441800751884,0.340868671239073,0.73179251446982,0.593191511915163,"ITGA3/ANLN/KITLG/EPB41L4B/MMP9/FERMT1/TACR1/PKN1/SOX9/DUSP10/PTPRR/GDF6/PKN3/ITGA2/ZEB2/HAS2/LRG1/MCC/MACIR/TACSTD2/NANOS1/SRC/EPPK1",23
"GO:0050680","negative regulation of epithelial cell proliferation","40/4095","175/18986",0.228571428571429,1.05974533403105,0.416377638915909,0.367193578773942,0.751166666860402,0.608896213072117,"PAX6/SNAI2/NGFR/TGFBR3/CPB2/APOH/SFRP1/GATA3/CCL2/KLF9/BMP4/SOX9/GDF5/DLL4/RGN/SULF1/THBS1/PDX1/BRCA2/DUSP10/GPC3/CDKN2B/CD109/XDH/NKX3-1/IL12A/ATOH8/AR/ROBO1/MCC/SCG2/OVOL1/SFN/NUPR1/SOX2/TMIGD1/MIR126/MIR483/EPPK1/GDF2",40
"GO:0002066","columnar/cuboidal epithelial cell development","13/4095","54/18986",0.240740740740741,1.11616696061141,0.448282288774119,0.377864932150145,0.763328834716543,0.618754874640933,"PAX6/ROS1/NKX3-2/BMP5/SPDEF/BMP4/NKX2-2/IL6ST/INSM1/TYMS/TMIGD1/SRC/TLR9",13
"GO:1904037","positive regulation of epithelial cell apoptotic process","5/4095","19/18986",0.263157894736842,1.22010153589101,0.503350927803769,0.39182640772487,0.779059316358607,0.631506013801149,"WNT11/HMOX1/SFRP4/IL6/PLA2G1B",5
"GO:0002011","morphogenesis of an epithelial sheet","15/4095","64/18986",0.234375,1.08665293040293,0.364133004059556,0.405489439661381,0.79690382777251,0.64597078693793,"FERMT2/BMP7/FERMT1/BMP5/DLL4/CCN1/PHLDB2/WNT7A/PDPN/TBX20/LRG1/SOX11/DDR1/FIGNL2/MMP12",15
"GO:0072575","epithelial cell proliferation involved in liver morphogenesis","6/4095","24/18986",0.25,1.15909645909646,0.408972763074857,0.418117562401368,0.807118838797084,0.65425108184951,"CPB2/FGL1/MDK/GLI1/IL6/WNT3A",6
"GO:0030511","positive regulation of transforming growth factor beta receptor signaling pathway","8/4095","33/18986",0.242424242424242,1.12397232397232,0.373777412379126,0.420331630748372,0.807118838797084,0.65425108184951,"TGFBR3/FERMT1/THBS1/CDKN2B/CITED2/NPNT/ZEB2/LRG1",8
