"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"ILMN_1713505",0.896543044921689,7.41911329731731,16.5417144571484,5.24147172746632e-48,3.63698191435321e-46,98.3648660065565,"NPC1"
"ILMN_1781285",-1.57906823969975,10.9212902616225,-15.6866946642908,3.13000558763215e-44,1.72033977263085e-42,89.7149342151739,"DUSP1"
"ILMN_1682738",0.489469317951038,7.49602919354651,11.7558017906304,6.8772280011236e-28,1.39379469249324e-26,52.3166159980024,"SMAD3"
"ILMN_1684690",0.343407160951971,6.81132743874382,11.7450173920708,7.57630361956761e-28,1.53219408627692e-26,52.2205479267011,"HDAC11"
"ILMN_2400292",0.373772672996542,7.2440570519037,9.97235735121725,3.16652223802655e-21,4.24382135004618e-20,37.1085837546767,"MAPK9"
"ILMN_2376723",0.241224717952838,7.13226950571134,7.88655494408536,2.54528179589701e-14,2.17655168824059e-13,21.4066294594917,"CDKN2B"
"ILMN_1680618",-0.739141520007595,8.27147611806865,-7.78296720539814,5.24044171125524e-14,4.38383282838487e-13,20.6958041877085,"MYC"
"ILMN_1723198",0.163519520224525,6.84033282070439,7.18744162995743,2.9045682799059e-12,2.12643695405301e-11,16.7493959392745,"CDKN2B"
"ILMN_1759175",-0.199470254444744,7.0802038693213,-6.48706846688741,2.39058483495197e-10,1.50718953030152e-09,12.4281735404602,"DUSP10"
"ILMN_2110908",-0.465584746821792,6.9510052158366,-5.78267036215138,1.40802776956793e-08,7.64655705063844e-08,8.45308700275962,"MYC"
"ILMN_2203896",-0.083555473722048,6.81960703330141,-4.65545108026997,4.30289713564901e-06,1.80184055526341e-05,2.92138603294376,"SMAD7"
"ILMN_1718275",-0.0786503765822238,6.84134063360515,-3.86753810526862,0.000126793251041035,0.000431330387392345,-0.300347959806667,"IL37"
"ILMN_1784602",-0.34046880944388,10.438149797422,-3.68433000096259,0.000258300748865462,0.000832894953567746,-0.970120163353934,"CDKN1A"
"ILMN_1674167",-0.0578999837425151,6.35585474990452,-3.63901957874932,0.000306642368288234,0.000976267276271804,-1.13106223630458,"IL10"
"ILMN_1696870",0.0860176912930819,7.12913839820933,3.50113574824642,0.000511279127100978,0.0015556219354361,-1.60927805793105,"TGFBRAP1"
"ILMN_1771203",0.0609672558747984,6.85738410943505,3.38206882604104,0.000784642629375008,0.00229519366732065,-2.00817878447633,"SMAD2"
"ILMN_2163206",0.05604006412563,6.07238685045019,3.17243031259795,0.0016190967421235,0.00440803792011912,-2.67862881273847,"CCDC110"
"ILMN_2400297",0.0521527880621145,6.73389726105469,3.08315398817202,0.00217889670444737,0.00573896191598836,-2.95171946891694,"MAPK9"
"ILMN_1766904",-0.038429204873757,6.61723956252223,-2.85023025511313,0.00457700277291169,0.0110580929642087,-3.62900571458546,"MAPK10"
"ILMN_1697710",-0.038781643473999,6.27172935465461,-2.69258357629064,0.00736459699590602,0.0167498833871899,-4.05832612114152,"IL37"
"ILMN_2137789",-0.142707205471925,6.34721315023826,-2.59992405331157,0.00964255803463489,0.0211727344967069,-4.29964476016959,"KLF4"
"ILMN_2256907",-0.0427800321675655,6.6871807893178,-2.55491924979689,0.0109615826658652,0.0236681560659186,-4.41389849711962,"MAPK10"
"ILMN_2340131",-0.0291492356932767,5.72260156687097,-2.47190629815059,0.0138222349579927,0.0289019805990231,-4.61956175139692,"MAPK10"
"ILMN_1699651",-0.0469839390728922,6.58491722798753,-2.31454512495815,0.0211039852555488,0.0414847509449337,-4.99127454599298,"IL6"
"ILMN_1741477",0.105718493183107,8.43809436453262,2.23664012087989,0.0258173376863739,0.0492543386951127,-5.16647486218602,"SMAD4"
"ILMN_2308806",-0.0303917419943189,6.70321601828283,-1.83355312474589,0.0674053080636083,0.110466179300947,-5.97902388426002,"MAPK8"
"ILMN_1787212",0.0247280642996164,5.75090557051716,1.7845984445086,0.0750251759041032,0.120680028270944,-6.06693026003011,"CDKN1A"
"ILMN_1728106",-0.0264531635958415,5.90756177636684,-1.63011187373537,0.103803670187706,0.158338740468437,-6.3289506225427,"TNF"
"ILMN_2283398",-0.0268720256917866,6.22495008673965,-1.60879521886106,0.108388582742474,0.164089475067088,-6.36326730647283,"DUSP4"
"ILMN_1754521",-0.0239745349066104,6.53199570477289,-1.56470397180504,0.118381482435739,0.176735658189996,-6.43283102052722,"SMAD2"
"ILMN_1748281",-0.0316099747875474,6.16552428243797,-1.48246966220445,0.138941422100166,0.201765217811653,-6.55746517281308,"MAPK10"
"ILMN_1849941",0.0352470761277169,7.14874281163008,1.47449707752953,0.141073120463297,0.204446722597066,-6.56919439474502,"MAPK8"
"ILMN_1670111",-0.0201062959002759,6.3620002361154,-1.37257931355782,0.170592349753298,0.2392124501415,-6.71361503941479,"CDKN2B"
"ILMN_1758086",-0.0135517954154895,5.73291117963545,-1.15879571035035,0.247176946471573,0.32446961034997,-6.98321914593938,"SNAI1"
"ILMN_2129668",-0.0139215738532785,5.78039654474785,-1.08713794445653,0.27757950679678,0.357040988289093,-7.06346208223684,"TGFB1"
"ILMN_2203891",-0.0256180250870627,6.76720697591948,-1.01460233756586,0.310860957427199,0.391840638423338,-7.13950061181926,"SMAD7"
"ILMN_1745927",0.0132773774775727,5.93574146262964,1.00215263549469,0.316828534134745,0.398206648275219,-7.15202637974825,"TGFBR1"
"ILMN_2353936",-0.0118827808612689,5.64894857365415,-0.935708550382276,0.349943844912501,0.431552420201028,-7.21627270244874,"IL37"
"ILMN_2073307",-0.109243144290416,9.09391111277684,-0.905336192753281,0.365789833711689,0.447605199251092,-7.24417915193489,"IL10"
"ILMN_1751036",-0.0133667840043094,6.57219888433824,-0.902561249085218,0.367259660402189,0.449009788995294,-7.2466830705406,"SMAD2"
"ILMN_1744862",-0.0108632797683934,6.58787927708302,-0.649176262845569,0.51656799023854,0.592906791221403,-7.44301496003986,"TGFBR2"
"ILMN_2384241",0.0293336798465883,8.80402920870685,0.393798437818503,0.693923342542144,0.751962433962374,-7.57611530190064,"TGFBR2"
